country,state,city,is_popular,is_nearby
India,Andhra Pradesh,Renigunta,0,0
India,Andhra Pradesh,Repalle,0,0
India,Andhra Pradesh,Salur,0,0
India,Andhra Pradesh,Samalkot,0,0
India,Andhra Pradesh,Sattenapalle,0,0
India,Andhra Pradesh,Singarayakonda,0,0
India,Andhra Pradesh,Sompeta,0,0
India,Andhra Pradesh,Srikakulam,0,0
India,Andhra Pradesh,Srisailain,0,0
India,Andhra Pradesh,Suluru,0,0
India,Andhra Pradesh,Tadepalle,0,0
India,Andhra Pradesh,Tadepallegudem,0,0
India,Andhra Pradesh,Tadpatri,0,0
India,Andhra Pradesh,Tanuku,0,0
India,Andhra Pradesh,Tekkali,0,0
India,Andhra Pradesh,Tirumala,0,0
India,Andhra Pradesh,Tirupati,0,0
India,Andhra Pradesh,Tuni,0,0
India,Andhra Pradesh,Uravakonda,0,0
India,Andhra Pradesh,vadlamuru,0,0
India,Andhra Pradesh,Vadlapudi,0,0
India,Andhra Pradesh,Venkatagiri,0,0
India,Andhra Pradesh,Vepagunta,0,0
India,Andhra Pradesh,Vetapalem,0,0
India,Andhra Pradesh,Vijayawada,1,0
India,Andhra Pradesh,Vinukonda,0,0
India,Andhra Pradesh,Visakhapatnam,0,1
India,Andhra Pradesh,Vizianagaram,0,0
India,Andhra Pradesh,Vizianagaram District,0,0
India,Andhra Pradesh,Vuyyuru,0,0
India,Andhra Pradesh,West Godavari,0,0
India,Andhra Pradesh,Yanam,0,0
India,Andhra Pradesh,Yanamalakuduru,0,0
India,Andhra Pradesh,Yarada,0,0
India,Arunachal Pradesh,Along,0,0
India,Arunachal Pradesh,Anjaw,0,0
India,Arunachal Pradesh,Basar,0,0
India,Arunachal Pradesh,Bomdila,0,0
India,Arunachal Pradesh,Changlang,0,0
India,Arunachal Pradesh,Dibang Valley,0,0
India,Arunachal Pradesh,East Kameng,0,0
India,Arunachal Pradesh,East Siang,0,0
India,Arunachal Pradesh,Hayuliang,0,0
India,Arunachal Pradesh,Itanagar,1,0
India,Arunachal Pradesh,Khonsa,0,0
India,Arunachal Pradesh,Kurung Kumey,0,0
India,Arunachal Pradesh,Lohit District,0,0
India,Arunachal Pradesh,Lower Dibang Valley,0,0
India,Arunachal Pradesh,Lower Subansiri,0,0
India,Arunachal Pradesh,Margherita,0,0
India,Arunachal Pradesh,Naharlagun,0,0
India,Arunachal Pradesh,Pasighat,0,0
India,Arunachal Pradesh,Tawang,0,1
India,Arunachal Pradesh,Tezu,0,0
India,Arunachal Pradesh,Tirap,0,0
India,Arunachal Pradesh,Upper Siang,0,0
India,Arunachal Pradesh,Upper Subansiri,0,0
India,Arunachal Pradesh,West Kameng,0,0
India,Arunachal Pradesh,West Siang,0,0
India,Arunachal Pradesh,Ziro,0,0
India,Assam,Abhayapuri,0,0
India,Assam,Amguri,0,0
India,Assam,Badarpur,0,0
India,Assam,Baksa,0,0
India,Assam,Barpathar,0,0
India,Assam,Barpeta,0,0
India,Assam,Barpeta Road,0,0
India,Assam,Basugaon,0,0
India,Assam,Bihpuriagaon,0,0
India,Assam,Bijni,0,0
India,Assam,Bilasipara,0,0
India,Assam,Bokajan,0,0
India,Assam,Bokakhat,0,0
India,Assam,Bongaigaon,0,0
India,Assam,Cachar,0,0
India,Assam,Chabua,0,0
India,Assam,Chapar,0,0
India,Assam,Chirang,0,0
India,Assam,Darrang,0,0
India,Assam,Dergaon,0,0
India,Assam,Dhekiajuli,0,0
India,Assam,Dhemaji,0,0
India,Assam,Dhing,0,0
India,Assam,Dhubri,0,0
India,Assam,Dibrugarh,0,0
India,Assam,Digboi,0,0
India,Assam,Dima Hasao District,0,0
India,Assam,Diphu,0,0
India,Assam,Dispur,0,0
India,Assam,Duliagaon,0,0
India,Assam,Dum Duma,0,0
India,Assam,Gauripur,0,0
India,Assam,Goalpara,0,0
India,Assam,Gohpur,0,0
India,Assam,Golaghat,0,0
India,Assam,Golakganj,0,0
India,Assam,Goshaingaon,0,0
India,Assam,Guwahati,0,0
India,Assam,Haflong,0,0
India,Assam,Hailakandi,0,0
India,Assam,Hajo,0,0
India,Assam,Hojai,0,0
India,Assam,Howli,0,0
India,Assam,Jogighopa,0,0
India,Assam,Jorhat,0,0
India,Assam,Kamrup,0,0
India,Assam,Kamrup Metropolitan,0,0
India,Assam,Karbi Anglong,0,0
India,Assam,Karimganj,0,0
India,Assam,Kharupatia,0,0
India,Assam,Kokrajhar,0,0
India,Assam,Lakhimpur,0,0
India,Assam,Lakhipur,0,0
India,Assam,Lala,0,0
India,Assam,Lumding Railway Colony,0,0
India,Assam,Mahur,0,0
India,Assam,Maibong,0,0
India,Assam,Makum,0,0
India,Assam,Mangaldai,0,0
India,Assam,Mariani,0,0
India,Assam,Moranha,0,0
India,Assam,Morigaon,0,0
India,Assam,Nagaon,0,0
